"respid","issue1","issue2","issue3","issue4","issue5","association1","association2","association3","association4","association5","association6","association7","association8","association9","association10"
282,3,12,13,1,5,9,0,9,6,3,7,5,4,10,1
64,15,8,11,6,2,2,2,0,1,0,7,1,0,3,1
390,16,10,3,11,15,7,0,6,5,0,0,7,10,1,1
156,12,5,11,9,14,6,4,3,7,10,9,10,3,2,0
311,10,14,5,8,8,2,9,6,5,0,4,0,0,7,7
61,9,12,9,3,11,2,3,8,3,8,7,1,9,3,9
425,11,1,3,14,6,8,2,9,3,6,4,3,1,10,1
310,15,3,12,5,15,7,9,2,4,9,10,8,3,8,5
105,12,4,1,4,4,5,4,0,2,4,10,10,7,3,7
215,5,14,12,2,2,10,9,1,9,9,9,1,8,8,7
188,14,15,7,7,5,10,10,2,3,8,6,10,9,7,8
141,6,10,14,3,4,8,10,7,5,9,9,9,5,1,9
112,10,2,6,8,4,8,1,0,8,8,6,3,8,9,0
190,16,14,3,9,4,0,6,4,9,10,2,6,2,7,9
78,6,8,15,4,2,2,9,3,4,6,10,10,0,0,10
483,3,7,16,16,3,8,4,5,7,8,6,2,5,4,10
45,14,3,5,8,5,9,2,7,10,0,6,3,0,4,3
83,12,14,1,16,3,2,0,9,8,1,6,3,10,9,7
326,5,1,12,4,4,4,8,3,5,6,7,5,1,8,2
187,11,3,16,15,13,8,8,3,10,4,0,2,0,7,8
47,9,2,1,4,12,0,6,1,8,0,1,8,8,6,2
231,7,6,3,12,11,0,1,1,7,1,1,2,8,2,5
244,7,10,12,1,15,4,10,4,6,10,9,1,10,7,7
401,2,4,10,15,14,0,6,8,10,2,8,0,4,0,10
243,13,13,1,6,13,2,4,5,6,10,4,8,7,3,0
77,1,13,6,12,15,6,2,3,0,4,7,8,2,3,8
320,9,3,14,7,16,0,10,0,9,3,6,2,1,0,0
478,16,5,16,6,3,5,2,4,2,4,0,0,2,4,6
468,16,1,8,12,4,2,0,10,10,5,1,0,7,10,9
481,10,14,16,6,1,3,1,4,8,3,4,2,6,2,8
394,15,10,3,2,15,7,6,4,3,5,5,5,2,5,4
319,11,15,14,16,11,8,9,9,9,8,3,9,9,7,6
329,2,8,5,11,2,5,7,7,7,8,0,5,6,5,5
290,9,13,11,13,9,0,2,3,6,5,2,10,8,1,0
348,5,15,5,3,12,0,7,7,0,4,8,1,3,9,10
9,15,9,10,3,9,4,4,6,6,5,4,1,2,5,10
197,10,7,13,1,12,5,9,5,4,7,2,3,1,10,1
228,6,4,5,11,5,3,10,3,5,8,4,6,2,5,2
113,2,15,14,3,6,8,0,9,0,10,5,1,0,8,7
341,5,9,1,13,5,1,1,5,9,9,2,10,10,0,5
16,10,15,7,16,14,5,1,4,10,7,2,0,5,4,9
239,2,1,7,6,3,5,2,8,0,3,1,2,7,8,8
328,11,6,4,3,13,0,6,0,9,10,7,3,3,2,6
23,4,2,7,7,12,6,8,0,3,0,3,9,3,10,4
494,1,6,3,13,9,0,10,2,9,0,10,9,5,10,4
438,3,5,7,2,10,8,10,3,5,0,4,4,7,5,5
62,9,15,10,12,15,1,0,1,10,0,0,1,8,6,0
38,7,11,13,2,8,3,4,9,8,10,0,9,2,0,10
383,9,9,4,2,11,8,9,4,9,1,2,1,7,4,8
30,1,6,7,7,14,2,0,4,10,5,4,4,3,3,2
304,8,16,12,4,11,0,8,1,2,8,3,0,2,6,3
356,2,11,14,16,6,4,4,5,7,6,0,5,5,2,8
172,6,9,5,10,8,8,0,7,5,2,0,1,6,5,3
281,1,4,14,13,2,10,0,4,6,1,7,6,6,3,1
44,13,5,14,11,3,2,5,8,9,8,7,0,8,7,4
393,16,1,8,5,7,10,3,6,7,2,1,10,0,0,8
206,9,5,7,14,5,10,0,1,8,9,9,7,4,4,10
59,12,6,7,5,2,6,1,6,9,8,6,5,0,6,1
415,14,6,7,3,1,4,7,3,4,7,0,7,3,7,6
115,3,10,5,8,10,7,5,7,2,9,5,3,1,2,1
473,11,4,5,16,6,3,4,1,3,6,10,2,2,8,8
264,3,8,9,7,2,6,10,8,10,9,4,1,10,4,5
60,12,9,2,9,8,6,2,0,1,10,7,7,9,0,2
312,3,15,2,11,1,7,4,0,7,8,1,4,7,1,10
345,11,6,6,2,12,7,2,0,3,1,3,7,8,7,6
373,11,6,7,5,15,5,2,9,1,2,5,6,6,1,3
