"respid","attribute1","attribute2","attribute3","attribute4","attribute5","association1","association2","association3","association4","association5","association6","association7","association8","association9","association10"
399,13,14,10,12,2,9,10,10,3,5,9,0,9,9,4
190,10,12,5,4,8,7,2,2,0,10,2,1,5,1,3
229,7,16,7,3,12,9,3,4,1,3,10,0,3,10,7
463,12,2,8,9,15,10,3,5,1,0,9,2,6,0,4
297,11,11,3,4,9,10,10,1,8,2,10,3,9,8,3
287,3,16,7,7,4,10,3,1,0,0,2,4,9,1,2
111,11,14,12,15,2,6,4,4,3,7,9,6,2,10,1
236,15,6,5,4,12,7,9,0,3,7,9,4,7,7,4
433,8,4,4,15,4,4,0,6,6,6,9,1,2,5,10
54,11,1,2,15,5,10,10,6,6,8,0,8,1,3,7
188,6,10,7,15,2,1,3,6,2,5,10,9,3,2,1
161,2,13,16,7,5,3,5,4,0,0,10,7,0,8,5
222,16,11,7,12,8,1,9,2,3,8,10,0,8,8,5
346,3,7,4,2,1,1,4,8,5,3,1,2,3,5,7
173,2,2,13,9,4,7,3,3,6,1,10,7,5,2,2
104,14,15,4,14,7,5,1,7,8,1,8,9,1,10,3
264,4,16,13,13,11,5,0,10,5,8,4,0,4,2,3
317,5,8,15,10,1,5,1,10,6,8,4,0,10,4,6
69,13,3,16,6,7,8,9,4,6,10,6,4,3,0,10
342,6,13,15,6,10,2,10,4,4,3,8,8,1,4,0
112,1,8,9,9,16,7,0,9,3,7,1,0,6,9,2
72,3,5,8,6,2,0,1,10,4,4,9,4,2,7,6
46,4,4,5,10,12,6,2,7,0,8,4,6,1,0,6
17,10,14,1,11,1,10,0,7,8,7,4,2,2,7,8
441,16,13,13,14,2,1,5,9,9,0,7,7,3,0,7
214,8,7,5,5,9,3,7,7,5,4,0,9,4,1,4
422,4,15,8,8,8,0,6,9,2,7,10,4,8,1,1
192,14,7,3,10,6,0,6,0,1,10,5,7,9,1,7
149,6,15,7,11,12,4,3,7,8,10,9,9,5,6,2
99,14,6,16,9,12,5,7,0,9,9,2,2,2,8,10
304,14,3,15,8,11,3,9,7,0,2,4,3,4,7,4
224,6,10,2,1,11,3,4,9,5,3,1,6,0,7,6
314,9,3,5,1,11,0,5,2,6,7,1,8,1,4,0
466,9,1,7,4,11,6,4,0,6,10,8,8,4,5,4
324,7,3,1,16,15,8,9,9,3,7,9,2,5,7,5
143,9,4,9,10,8,5,3,2,8,8,0,1,0,4,1
58,6,3,13,8,14,9,9,8,1,9,4,10,10,10,2
220,6,12,16,8,9,9,3,7,1,5,5,1,7,0,0
303,11,14,5,16,8,4,0,7,2,5,4,6,2,4,10
199,13,5,13,2,3,7,2,0,4,10,9,10,8,9,10
496,3,7,2,11,13,5,9,1,0,1,3,6,3,4,10
160,11,16,10,3,7,7,2,6,8,5,8,10,0,9,1
356,2,16,6,1,10,7,5,3,9,6,2,4,8,5,9
209,10,5,6,4,8,6,6,5,8,4,1,7,0,0,1
187,12,4,3,10,4,1,5,1,10,0,10,0,9,8,9
117,16,13,3,8,4,2,6,5,2,9,6,6,10,4,0
493,10,4,7,7,1,8,0,1,4,3,9,1,5,9,0
458,9,8,10,13,10,6,4,1,2,5,9,7,9,5,3
206,13,5,13,8,1,4,3,0,5,6,10,9,6,6,4
118,1,1,6,15,6,4,8,9,2,0,1,2,10,1,3
168,1,2,1,6,4,5,0,1,1,1,10,10,10,2,10
486,3,9,5,7,12,5,1,4,6,9,10,6,5,7,6
296,1,11,14,8,16,5,6,0,6,5,2,0,4,7,4
330,6,1,14,3,3,1,8,5,10,5,4,9,10,6,4
56,4,7,3,15,5,6,3,6,5,9,1,10,6,4,5
334,12,6,3,2,2,4,9,5,4,3,4,0,0,6,3
223,10,12,13,12,3,10,10,7,4,10,1,5,4,10,4
171,2,9,6,7,15,7,2,10,1,6,1,2,6,5,10
107,13,14,7,11,7,3,5,10,4,1,3,1,4,8,2
416,4,15,9,2,13,2,6,8,5,7,0,9,5,5,4
400,15,7,1,16,5,10,1,9,9,8,4,1,10,8,4
5,16,8,14,7,13,5,2,6,4,6,5,10,4,2,3
53,9,9,9,16,5,2,7,10,1,6,2,9,8,8,5
276,4,13,9,12,13,10,4,3,8,2,9,7,5,5,10
105,3,6,7,6,1,5,9,9,7,7,6,8,6,1,0
205,1,6,13,10,7,0,9,3,9,8,3,4,3,5,4
102,5,12,1,9,5,3,8,8,9,8,8,6,0,1,6
